Moisture,EC,Soil_Temperature,N,P,K,Soil_Type,N_Class,P_Class,K_Class
34.54,2.92,27.98,83.52,68.44,94.02,Clay,High,High,High
25.65,0.71,29.89,59.93,54.47,52.83,Peaty,Medium,Medium,Medium
39.02,1.5,36.69,60.22,50.7,57.15,Silty,Medium,Medium,High
45.4,1.44,28.56,83.42,52.77,75.68,Clay,High,Medium,High
8.06,2.41,26.21,78.11,41.09,71.58,Loamy,High,Medium,High
13.61,1.57,28.85,56.47,49.3,65.46,Loamy,Medium,Medium,High
44.1,0.95,30.74,66.57,61.31,61.86,Clay,High,High,High
29.02,2.29,22.16,84.05,60.51,76.92,Loamy,High,High,High
56.04,2.94,37.82,96.06,63.2,84.33,Clay,High,High,High
50.66,1.65,32.83,69.89,39.93,70.71,Silty,High,Medium,High
64.19,0.9,31.93,54.97,50.24,58.2,Silty,Medium,Medium,High
53.47,1.09,20.19,66.19,59.49,60.09,Clay,High,High,High
35.1,1.21,31.29,51.77,45.98,61.48,Silty,Medium,Medium,High
52.11,1.4,20.66,62.75,37.84,55.31,Silty,Medium,Medium,High
24.28,2.43,19.73,72.61,48.02,63.73,Silty,High,Medium,High
26.44,2.3,29.6,84.61,57.4,59.55,Sandy,High,High,High
60.23,2.59,26.86,97.47,73.37,70.36,Peaty,High,High,High
36.25,1.59,30.95,76.54,53.93,72.46,Loamy,High,Medium,High
60.89,2.97,19.96,90.74,68.54,87.65,Sandy,High,High,High
62.57,1.11,27.48,63.92,58.64,56.84,Silty,Medium,High,High
65.03,1.91,21.85,89.0,50.2,71.77,Clay,High,Medium,High
69.16,2.9,39.72,87.2,75.0,72.16,Silty,High,High,High
35.17,1.04,30.35,62.77,53.48,45.21,Peaty,Medium,Medium,Medium
27.32,0.83,33.12,37.94,37.26,57.39,Silty,Medium,Medium,High
45.75,3.15,25.16,98.55,75.0,76.3,Clay,High,High,High
30.98,1.53,20.08,69.58,49.34,55.85,Peaty,High,Medium,High
47.08,2.55,39.47,72.78,47.67,79.22,Silty,High,Medium,High
54.39,0.58,24.3,57.35,42.5,57.23,Peaty,Medium,Medium,High
53.19,2.57,27.32,92.12,55.8,84.77,Loamy,High,High,High
31.22,1.45,32.3,73.83,49.44,66.57,Loamy,High,Medium,High
16.68,0.67,18.54,51.26,35.87,43.61,Silty,Medium,Medium,Medium
35.14,2.33,35.83,84.21,59.74,69.04,Peaty,High,High,High
14.98,1.22,29.8,71.18,49.38,58.56,Clay,High,Medium,High
67.31,1.66,24.12,69.75,53.43,64.71,Silty,High,Medium,High
29.21,0.74,19.36,64.76,50.02,42.11,Loamy,Medium,Medium,Medium
15.81,0.94,21.57,51.08,39.88,50.64,Loamy,Medium,Medium,Medium
6.78,1.39,37.69,51.56,59.33,54.26,Silty,Medium,High,Medium
50.21,0.77,33.09,57.75,42.24,55.07,Peaty,Medium,Medium,High
49.58,3.23,23.5,100.0,71.08,86.88,Loamy,High,High,High
28.84,0.52,19.44,58.35,56.14,55.88,Peaty,Medium,High,High
10.02,1.95,33.19,64.4,54.67,75.13,Loamy,Medium,Medium,High
33.67,0.87,30.59,65.34,52.21,70.16,Loamy,High,Medium,High
26.79,1.42,26.9,63.71,40.16,46.32,Sandy,Medium,Medium,Medium
52.4,3.28,26.0,100.0,63.58,87.76,Loamy,High,High,High
47.4,0.99,22.77,74.75,64.1,72.32,Clay,High,High,High
30.52,3.4,32.73,72.9,70.61,71.56,Silty,High,High,High
20.25,1.12,39.35,35.77,53.55,47.61,Silty,Medium,Medium,Medium
74.16,2.72,21.87,88.43,48.78,80.82,Peaty,High,Medium,High
36.78,2.14,31.14,81.27,54.13,89.83,Loamy,High,Medium,High
53.18,3.15,27.33,100.0,75.0,84.83,Clay,High,High,High
14.84,2.16,27.83,68.71,58.71,78.08,Peaty,High,High,High
38.99,2.1,23.59,65.79,57.13,66.15,Sandy,High,High,High
6.93,1.09,36.15,57.36,51.44,49.77,Peaty,Medium,Medium,Medium
40.38,1.0,28.68,60.29,45.97,80.0,Peaty,Medium,Medium,High
72.48,3.25,29.95,99.63,73.94,95.0,Loamy,High,High,High
31.89,1.48,24.7,57.99,35.92,60.61,Sandy,Medium,Medium,High
7.73,1.62,22.0,75.55,35.97,65.52,Peaty,High,Medium,High
7.17,2.78,19.89,96.36,52.04,82.09,Clay,High,Medium,High
32.16,1.52,33.71,73.2,58.71,84.91,Clay,High,High,High
16.2,3.36,22.32,96.93,46.42,91.76,Silty,High,Medium,High
6.63,2.71,33.18,74.76,57.48,64.08,Sandy,High,High,High
57.93,2.29,26.59,83.28,49.49,86.14,Sandy,High,Medium,High
37.1,3.14,27.15,81.48,54.84,75.78,Silty,High,Medium,High
25.25,0.65,28.32,51.67,56.95,56.09,Peaty,Medium,High,High
68.01,1.27,26.09,59.69,51.83,50.92,Sandy,Medium,Medium,Medium
13.13,1.9,20.21,77.5,45.51,76.39,Clay,High,Medium,High
71.91,1.18,24.81,77.73,58.04,67.99,Clay,High,High,High
26.98,2.73,32.6,88.69,51.47,73.42,Loamy,High,Medium,High
67.19,3.26,32.65,100.0,70.3,94.49,Sandy,High,High,High
47.21,1.77,24.3,80.81,64.27,80.04,Peaty,High,High,High
62.87,1.53,28.12,64.87,59.46,75.45,Silty,Medium,High,High
73.88,3.38,22.26,97.78,75.0,77.58,Silty,High,High,High
25.19,1.83,22.63,82.82,37.11,78.16,Peaty,High,Medium,High
72.28,1.97,18.51,91.76,59.54,74.37,Loamy,High,High,High
32.26,1.55,37.73,69.69,43.3,77.01,Silty,High,Medium,High
31.99,3.23,22.64,83.05,57.93,83.11,Sandy,High,High,High
28.83,2.21,23.01,77.42,56.53,75.43,Loamy,High,High,High
42.9,2.79,24.15,77.07,75.0,75.36,Sandy,High,High,High
15.79,2.94,20.8,90.83,59.86,82.14,Clay,High,High,High
43.76,1.53,32.06,66.26,56.22,64.54,Loamy,High,High,High
42.92,1.8,19.65,71.93,58.72,56.49,Silty,High,High,High
58.33,3.05,20.95,100.0,64.62,85.33,Loamy,High,High,High
63.36,1.59,32.18,85.09,74.33,81.37,Loamy,High,High,High
35.83,2.88,25.47,81.49,68.17,73.55,Loamy,High,High,High
26.16,3.32,33.57,89.18,74.12,95.0,Loamy,High,High,High
23.15,2.37,30.26,75.23,40.14,69.4,Sandy,High,Medium,High
18.62,2.72,23.63,91.22,75.0,86.09,Clay,High,High,High
9.04,2.92,32.32,84.47,56.17,85.38,Peaty,High,High,High
28.97,3.04,20.56,100.0,61.23,89.77,Loamy,High,High,High
23.92,1.69,29.8,56.79,45.94,61.7,Silty,Medium,Medium,High
72.65,0.65,27.62,61.98,44.64,62.65,Loamy,Medium,Medium,High
44.04,1.71,23.89,62.98,42.03,70.0,Silty,Medium,Medium,High
29.31,2.52,31.29,61.37,58.04,64.05,Sandy,Medium,High,High
45.63,1.85,37.17,68.3,41.71,59.77,Silty,High,Medium,High
14.74,2.75,39.98,78.0,61.7,76.49,Peaty,High,High,High
36.08,1.57,31.37,70.66,65.65,72.68,Clay,High,High,High
48.84,2.4,26.9,72.77,63.08,86.91,Silty,High,High,High
39.22,1.06,22.95,58.05,49.8,55.37,Silty,Medium,Medium,High
33.12,2.75,23.66,88.26,54.98,95.0,Clay,High,Medium,High
74.57,2.14,28.55,87.03,49.98,82.89,Peaty,High,Medium,High
66.62,1.11,26.08,74.91,63.02,63.47,Loamy,High,High,High
48.64,1.38,38.1,59.28,51.34,71.03,Silty,Medium,Medium,High
44.86,2.75,26.1,92.42,63.73,83.55,Clay,High,High,High
48.45,1.95,26.22,70.92,52.25,68.11,Sandy,High,Medium,High
19.09,1.15,26.44,66.86,55.93,52.76,Clay,High,High,Medium
32.66,3.4,36.41,93.5,75.0,72.85,Sandy,High,High,High
7.76,2.65,32.32,82.03,71.13,79.97,Peaty,High,High,High
38.29,3.37,31.51,100.0,49.89,95.0,Loamy,High,Medium,High
43.01,1.78,25.35,84.3,54.88,86.79,Clay,High,Medium,High
20.94,1.93,35.99,56.47,43.83,59.45,Silty,Medium,Medium,High
72.48,3.19,18.84,99.22,73.72,95.0,Peaty,High,High,High
68.66,2.08,37.16,86.57,66.59,91.9,Clay,High,High,High
55.55,2.62,29.28,87.26,65.99,74.09,Silty,High,High,High
42.34,1.26,26.76,84.27,51.04,76.69,Clay,High,Medium,High
65.9,1.84,28.94,67.91,47.83,74.77,Sandy,High,Medium,High
14.15,0.87,32.68,61.13,43.31,67.13,Clay,Medium,Medium,High
60.34,1.12,18.28,80.62,40.18,81.64,Clay,High,Medium,High
13.74,0.5,37.17,54.14,39.17,63.14,Clay,Medium,Medium,High
60.59,0.62,27.83,71.48,38.62,43.72,Peaty,High,Medium,Medium
24.3,3.43,25.55,92.74,58.11,92.63,Clay,High,High,High
66.4,1.23,21.04,69.94,41.34,49.83,Silty,High,Medium,Medium
71.08,2.49,27.67,85.32,63.9,77.63,Sandy,High,High,High
15.42,3.02,28.92,85.47,60.93,75.48,Sandy,High,High,High
37.39,2.15,26.88,84.96,62.87,73.0,Clay,High,High,High
73.67,0.96,32.93,73.08,65.49,58.49,Peaty,High,High,High
38.84,2.68,27.26,85.89,61.03,76.6,Peaty,High,High,High
65.45,2.3,39.15,72.26,57.36,74.54,Silty,High,High,High
46.21,2.69,31.18,87.29,75.0,84.82,Clay,High,High,High
31.27,2.81,35.76,68.28,68.22,76.66,Sandy,High,High,High
25.0,3.43,20.41,94.36,63.86,90.08,Peaty,High,High,High
19.23,2.22,26.74,84.2,58.63,72.98,Clay,High,High,High
58.33,1.52,25.41,73.47,57.78,77.83,Peaty,High,High,High
32.06,2.45,30.53,83.21,58.74,76.73,Peaty,High,High,High
40.79,0.71,36.94,55.71,49.25,58.57,Sandy,Medium,Medium,High
39.46,3.19,19.72,95.31,67.34,84.46,Loamy,High,High,High
45.41,0.86,19.6,71.18,38.73,72.13,Silty,High,Medium,High
65.59,1.48,36.71,70.48,44.13,69.87,Silty,High,Medium,High
73.65,2.95,22.68,88.23,45.81,93.04,Sandy,High,Medium,High
33.53,2.29,32.71,78.3,67.36,70.89,Peaty,High,High,High
62.93,1.68,29.94,75.73,48.0,72.64,Clay,High,Medium,High
58.52,1.92,36.32,77.85,65.72,73.89,Peaty,High,High,High
45.15,3.06,20.75,73.4,49.88,95.0,Sandy,High,Medium,High
71.92,1.52,20.86,78.63,43.56,63.65,Silty,High,Medium,High
19.03,3.11,30.25,72.33,57.47,77.25,Peaty,High,High,High
12.65,0.76,38.82,45.92,48.26,59.44,Silty,Medium,Medium,High
64.78,2.83,27.13,92.3,57.41,89.86,Clay,High,High,High
35.74,3.04,25.19,81.19,55.26,77.38,Silty,High,High,High
64.29,1.05,31.35,57.19,51.99,55.86,Silty,Medium,Medium,High
67.52,1.79,38.47,90.86,54.06,80.65,Loamy,High,Medium,High
9.37,1.0,36.41,51.31,62.07,65.96,Loamy,Medium,High,High
66.84,2.62,39.9,96.2,56.02,92.92,Loamy,High,High,High
36.38,2.11,18.5,80.56,49.82,63.11,Silty,High,Medium,High
40.73,2.41,20.48,62.2,64.2,62.79,Sandy,Medium,High,High
48.86,1.09,31.41,54.77,40.07,30.23,Silty,Medium,Medium,Medium
69.85,1.14,36.05,68.78,53.44,54.88,Sandy,High,Medium,Medium
6.34,0.62,24.28,35.84,40.17,41.07,Sandy,Medium,Medium,Medium
38.38,1.47,23.26,79.95,46.26,65.77,Loamy,High,Medium,High
53.14,2.18,35.31,80.85,62.14,75.9,Peaty,High,High,High
55.59,3.07,19.24,100.0,70.0,95.0,Clay,High,High,High
53.48,2.5,26.13,90.06,58.83,84.92,Loamy,High,High,High
14.41,1.81,29.13,74.07,60.32,59.1,Loamy,High,High,High
25.96,3.36,30.33,88.31,68.92,91.69,Peaty,High,High,High
30.11,2.66,34.03,87.38,60.13,86.14,Clay,High,High,High
61.31,3.29,25.81,95.64,74.18,78.51,Silty,High,High,High
24.51,2.08,31.48,69.33,48.59,68.77,Silty,High,Medium,High
19.75,1.28,30.88,67.11,58.71,66.18,Loamy,High,High,High
72.02,0.66,30.05,64.46,49.05,71.95,Clay,Medium,Medium,High
5.62,2.68,32.09,86.04,57.59,65.1,Loamy,High,High,High
74.85,0.86,23.71,60.37,47.45,61.28,Sandy,Medium,Medium,High
52.38,1.41,19.86,65.71,55.52,76.84,Loamy,High,High,High
62.99,2.1,20.62,83.61,39.73,90.25,Loamy,High,Medium,High
25.62,2.19,22.94,66.56,56.08,58.13,Silty,High,High,High
6.0,2.3,29.0,63.16,52.1,65.15,Silty,Medium,Medium,High
56.65,1.0,36.49,54.59,55.05,59.01,Silty,Medium,High,High
63.39,1.64,33.43,70.18,60.07,70.89,Sandy,High,High,High
56.83,2.35,35.36,73.32,64.74,74.39,Silty,High,High,High
15.0,3.41,25.72,100.0,49.13,83.73,Clay,High,Medium,High
57.74,2.68,26.9,91.21,55.3,84.59,Peaty,High,High,High
58.82,3.27,26.66,99.78,72.47,91.4,Clay,High,High,High
51.1,2.79,22.22,95.09,65.66,89.92,Clay,High,High,High
58.63,2.28,19.35,85.02,49.36,66.34,Silty,High,Medium,High
64.21,1.08,31.0,69.03,60.97,58.18,Peaty,High,High,High
47.95,2.5,39.76,86.93,63.82,90.91,Peaty,High,High,High
11.2,2.37,21.67,86.78,61.33,87.27,Peaty,High,High,High
39.13,2.31,19.03,77.46,62.33,80.77,Sandy,High,High,High
10.44,1.97,35.15,51.78,55.57,63.42,Silty,Medium,High,High
33.53,2.09,23.56,80.31,60.1,79.0,Peaty,High,High,High
33.5,1.5,36.25,54.84,47.66,55.74,Sandy,Medium,Medium,High
9.62,2.06,33.49,84.66,64.01,74.43,Loamy,High,High,High
29.42,1.09,38.8,64.78,56.29,59.03,Loamy,Medium,High,High
12.77,2.92,27.0,73.47,54.05,81.65,Sandy,High,Medium,High
61.58,1.06,32.56,61.44,41.83,66.56,Sandy,Medium,Medium,High
71.34,0.75,28.23,58.97,46.09,71.65,Silty,Medium,Medium,High
10.06,1.81,31.87,51.36,42.19,59.73,Silty,Medium,Medium,High
71.86,2.47,27.89,97.37,71.31,95.0,Loamy,High,High,High
41.58,1.81,22.15,74.11,64.03,72.81,Peaty,High,High,High
25.97,1.33,29.17,75.8,59.7,64.27,Loamy,High,High,High
10.38,2.17,29.63,73.7,75.0,72.66,Peaty,High,High,High
40.04,1.54,35.83,78.0,53.34,80.09,Peaty,High,Medium,High
60.62,3.3,34.18,94.11,72.84,86.43,Silty,High,High,High
54.5,3.27,32.6,100.0,61.92,93.62,Clay,High,High,High
8.52,2.01,20.49,75.77,51.47,55.39,Clay,High,Medium,High
10.1,1.48,33.85,56.71,36.93,55.33,Sandy,Medium,Medium,High
33.2,2.71,29.01,69.01,63.52,77.06,Silty,High,High,High
25.67,0.61,37.67,52.3,46.77,49.78,Peaty,Medium,Medium,Medium
21.27,1.92,38.24,67.03,43.78,66.9,Clay,High,Medium,High
24.67,1.51,19.21,62.93,43.67,49.56,Peaty,Medium,Medium,Medium
61.24,3.26,36.05,97.39,75.0,91.65,Clay,High,High,High
70.05,0.54,18.83,73.09,53.12,70.93,Clay,High,Medium,High
33.36,2.16,26.08,83.25,65.16,66.04,Clay,High,High,High
68.43,2.72,29.93,85.85,64.6,86.31,Silty,High,High,High
27.5,1.96,21.26,77.18,52.58,76.26,Loamy,High,Medium,High
38.35,0.76,34.42,64.63,51.12,75.37,Peaty,Medium,Medium,High
20.82,3.42,18.18,89.64,60.46,87.22,Silty,High,High,High
49.83,2.05,21.71,76.06,45.17,75.12,Silty,High,Medium,High
73.53,2.34,30.78,77.54,68.03,79.69,Silty,High,High,High
47.24,1.21,33.72,66.28,61.07,60.0,Silty,High,High,High
30.05,1.95,38.17,73.25,55.05,73.14,Silty,High,High,High
50.35,1.79,33.52,66.03,51.34,74.75,Sandy,High,Medium,High
13.6,0.72,32.78,50.09,41.3,55.0,Peaty,Medium,Medium,High
67.21,0.82,26.68,49.24,63.44,66.03,Silty,Medium,High,High
40.22,3.01,18.03,89.14,57.2,95.0,Peaty,High,High,High
36.45,1.22,20.64,45.46,50.72,55.24,Sandy,Medium,Medium,High
46.01,1.08,29.76,50.78,47.4,56.88,Sandy,Medium,Medium,High
48.73,2.01,32.85,80.5,58.3,74.06,Peaty,High,High,High
10.02,2.81,27.18,88.65,54.88,81.89,Clay,High,Medium,High
52.78,0.69,34.07,75.75,45.16,69.41,Loamy,High,Medium,High
21.94,2.23,29.48,80.13,65.24,76.79,Clay,High,High,High
54.98,0.86,19.63,68.15,42.56,64.08,Clay,High,Medium,High
62.58,0.61,22.22,74.47,54.33,59.61,Clay,High,Medium,High
61.28,0.66,36.48,41.86,51.72,59.35,Silty,Medium,Medium,High
43.68,3.0,33.95,73.44,69.16,76.27,Sandy,High,High,High
41.41,0.85,37.68,68.36,50.29,55.34,Clay,High,Medium,High
15.0,0.64,20.59,45.09,47.57,47.58,Sandy,Medium,Medium,Medium
59.27,1.81,39.78,74.82,61.44,88.95,Peaty,High,High,High
24.0,3.03,22.61,87.08,75.0,80.83,Loamy,High,High,High
39.77,1.29,18.26,70.99,36.2,54.64,Peaty,High,Medium,Medium
24.9,1.77,39.94,64.09,75.0,82.79,Peaty,Medium,High,High
14.37,0.62,24.18,47.56,39.79,46.53,Silty,Medium,Medium,Medium
49.07,1.85,32.7,71.1,61.68,80.71,Loamy,High,High,High
8.8,2.23,21.89,75.6,48.27,64.27,Peaty,High,Medium,High
57.41,2.21,30.77,95.36,49.35,78.09,Peaty,High,Medium,High
27.23,1.5,37.89,65.43,52.48,77.33,Loamy,High,Medium,High
5.01,1.45,25.04,65.29,46.28,62.18,Loamy,High,Medium,High
40.78,0.82,32.75,58.65,52.59,60.03,Peaty,Medium,Medium,High
8.28,1.6,22.13,70.55,58.59,52.67,Loamy,High,High,Medium
24.33,0.8,31.75,59.62,50.19,61.63,Peaty,Medium,Medium,High
54.49,2.8,25.4,93.8,65.33,78.22,Peaty,High,High,High
9.39,3.4,22.65,87.99,61.64,86.65,Silty,High,High,High
63.75,3.41,24.89,100.0,56.71,95.0,Clay,High,High,High
5.27,3.1,21.93,88.99,45.26,81.33,Peaty,High,Medium,High
22.28,2.3,37.84,66.32,45.2,74.22,Sandy,High,Medium,High
56.86,2.6,26.74,83.7,62.09,88.06,Clay,High,High,High
27.14,1.36,23.4,87.91,36.89,77.31,Clay,High,Medium,High
12.13,2.39,27.86,87.63,53.16,87.3,Clay,High,Medium,High
30.22,1.87,25.05,61.75,40.54,55.31,Silty,Medium,Medium,High
23.93,1.95,34.38,73.95,61.24,69.23,Peaty,High,High,High
63.99,2.77,39.37,75.44,70.22,88.3,Silty,High,High,High
26.93,1.35,27.64,63.05,48.85,55.8,Peaty,Medium,Medium,High
60.23,1.45,36.94,55.62,41.25,54.5,Silty,Medium,Medium,Medium
67.43,3.27,30.45,92.95,65.51,82.09,Silty,High,High,High
35.37,0.67,21.46,40.72,44.53,47.25,Sandy,Medium,Medium,Medium
68.7,1.96,33.19,76.38,66.05,43.71,Silty,High,High,Medium
31.41,3.24,29.3,99.61,75.0,79.87,Loamy,High,High,High
72.49,2.33,32.31,73.31,70.41,63.25,Sandy,High,High,High
11.25,2.14,37.57,66.32,56.77,74.56,Silty,High,High,High
53.09,1.25,27.69,69.05,53.48,75.18,Clay,High,Medium,High
39.57,1.53,37.83,73.75,52.45,71.7,Loamy,High,Medium,High
32.14,3.06,34.51,87.76,75.0,87.21,Loamy,High,High,High
49.29,2.18,28.75,88.42,62.12,81.23,Loamy,High,High,High
54.27,2.04,31.27,60.25,62.0,62.32,Sandy,Medium,High,High
5.31,0.8,25.16,41.81,36.55,55.96,Silty,Medium,Medium,High
16.69,0.55,39.64,36.47,36.08,49.12,Silty,Medium,Medium,Medium
54.91,3.39,32.68,100.0,69.08,95.0,Clay,High,High,High
51.65,1.63,18.96,84.78,52.7,77.63,Clay,High,Medium,High
72.62,2.31,25.19,92.24,64.77,85.61,Loamy,High,High,High
58.27,0.74,31.71,64.03,48.42,66.18,Clay,Medium,Medium,High
71.55,2.55,19.24,67.33,58.46,77.51,Sandy,High,High,High
54.18,3.3,18.53,94.07,71.23,83.12,Silty,High,High,High
25.86,2.23,27.9,85.09,44.63,77.73,Loamy,High,Medium,High
12.38,0.88,25.32,78.3,30.58,59.09,Clay,High,Medium,High
59.73,2.25,27.64,73.23,67.68,68.49,Sandy,High,High,High
50.09,2.8,23.78,78.82,47.26,80.73,Sandy,High,Medium,High
8.37,1.72,21.62,76.26,48.42,68.51,Clay,High,Medium,High
30.2,3.14,33.16,82.5,67.85,89.16,Silty,High,High,High
71.98,2.45,29.32,100.0,66.26,73.6,Clay,High,High,High
40.03,3.2,22.4,93.15,63.8,87.48,Loamy,High,High,High
35.29,2.37,25.03,86.25,60.89,74.01,Clay,High,High,High
37.04,0.89,31.02,56.88,67.13,49.13,Sandy,Medium,High,Medium
19.62,1.43,19.59,74.51,64.37,68.28,Clay,High,High,High
30.81,1.11,21.24,64.65,39.5,43.97,Silty,Medium,Medium,Medium
30.89,3.23,19.61,92.76,70.12,85.24,Peaty,High,High,High
8.66,2.78,35.87,94.02,67.75,82.22,Clay,High,High,High
58.73,2.53,34.55,70.15,62.58,70.48,Silty,High,High,High
34.16,1.4,34.57,49.86,44.88,61.63,Silty,Medium,Medium,High
62.55,1.05,33.76,65.55,55.69,53.66,Sandy,High,High,Medium
64.52,2.77,32.73,85.06,61.98,95.0,Silty,High,High,High
19.84,1.92,28.49,71.32,48.79,71.98,Silty,High,Medium,High
51.01,1.18,32.13,60.55,45.64,60.35,Silty,Medium,Medium,High
38.06,2.35,18.84,77.27,61.54,66.71,Silty,High,High,High
66.61,0.62,31.67,55.93,47.16,65.24,Loamy,Medium,Medium,High
20.1,1.48,35.11,66.88,48.66,71.1,Loamy,High,Medium,High
52.45,1.91,29.01,77.48,61.23,68.73,Sandy,High,High,High
47.54,0.94,25.87,69.7,51.22,56.7,Clay,High,Medium,High
25.67,3.45,24.1,93.8,60.46,80.72,Silty,High,High,High
14.56,1.13,32.14,68.6,60.13,62.76,Clay,High,High,High
50.61,0.89,33.24,61.46,65.48,66.99,Clay,Medium,High,High
56.7,1.11,37.16,62.06,35.94,61.63,Sandy,Medium,Medium,High
27.09,2.81,25.53,78.52,56.65,79.94,Silty,High,High,High
50.14,1.78,34.93,66.19,45.44,76.9,Silty,High,Medium,High
32.66,2.2,30.35,91.19,55.58,81.12,Peaty,High,High,High
54.92,0.56,37.42,66.29,54.66,66.52,Clay,High,Medium,High
18.95,0.6,29.61,54.69,45.1,47.27,Clay,Medium,Medium,Medium
67.32,1.84,29.39,82.31,52.66,84.42,Loamy,High,Medium,High
25.12,2.95,30.71,88.17,54.42,87.82,Peaty,High,Medium,High
30.75,3.16,34.48,100.0,73.04,85.71,Loamy,High,High,High
9.07,0.76,39.22,54.11,62.26,56.33,Loamy,Medium,High,High
12.81,2.12,19.62,91.48,36.3,70.0,Loamy,High,Medium,High
41.11,3.24,19.18,80.73,56.65,76.55,Sandy,High,High,High
23.73,1.66,38.63,58.37,59.14,49.21,Sandy,Medium,High,Medium
63.48,2.99,29.66,93.06,68.06,81.71,Loamy,High,High,High
6.03,0.9,31.53,52.07,38.18,48.24,Peaty,Medium,Medium,Medium
31.54,3.31,28.61,96.82,63.66,76.71,Clay,High,High,High
28.61,2.75,20.06,83.86,60.8,70.54,Peaty,High,High,High
6.35,3.32,34.9,92.38,59.52,87.64,Silty,High,High,High
13.71,2.53,34.44,78.6,56.12,73.07,Sandy,High,High,High
33.95,1.59,24.86,78.8,54.63,62.61,Clay,High,Medium,High
39.5,3.31,24.74,99.22,62.94,86.27,Clay,High,High,High
33.3,1.33,36.43,53.85,58.7,68.41,Silty,Medium,High,High
42.17,1.5,19.59,70.13,44.67,68.59,Silty,High,Medium,High
46.66,2.6,37.38,89.19,58.34,84.21,Loamy,High,High,High
5.69,2.8,23.65,73.94,71.41,77.97,Sandy,High,High,High
37.49,3.29,31.05,89.19,62.7,76.44,Sandy,High,High,High
72.44,1.11,38.59,73.83,38.18,69.99,Peaty,High,Medium,High
41.33,2.89,32.92,90.66,75.0,75.32,Loamy,High,High,High
52.43,2.72,27.12,87.58,74.26,81.55,Loamy,High,High,High
26.83,0.69,33.17,49.49,53.19,57.06,Loamy,Medium,Medium,High
59.18,1.66,25.57,80.29,62.4,60.29,Loamy,High,High,High
59.1,1.35,24.1,76.62,67.57,64.47,Sandy,High,High,High
41.49,1.41,39.93,51.23,46.46,66.63,Sandy,Medium,Medium,High
73.32,3.45,34.52,100.0,75.0,95.0,Loamy,High,High,High
13.79,2.43,32.18,74.07,74.39,90.68,Peaty,High,High,High
6.19,2.65,25.82,83.53,75.0,81.19,Clay,High,High,High
58.91,3.43,19.08,100.0,65.34,93.92,Clay,High,High,High
61.5,1.63,18.68,76.76,70.3,58.22,Peaty,High,High,High
13.41,2.91,30.19,88.81,68.36,83.85,Loamy,High,High,High
23.59,1.8,34.76,62.76,64.82,66.34,Sandy,Medium,High,High
6.23,3.11,29.82,87.97,69.68,75.02,Clay,High,High,High
25.53,1.04,36.5,57.84,51.77,53.53,Silty,Medium,Medium,Medium
59.12,3.34,18.74,94.96,75.0,84.97,Silty,High,High,High
41.26,1.16,26.07,57.9,46.91,65.68,Peaty,Medium,Medium,High
29.37,1.48,23.22,65.97,66.92,70.97,Loamy,High,High,High
31.02,2.77,27.84,73.35,75.0,80.01,Clay,High,High,High
5.09,1.68,19.59,70.96,59.81,64.54,Loamy,High,High,High
25.99,2.32,38.99,90.17,63.2,83.66,Clay,High,High,High
50.25,1.83,22.91,71.94,57.67,69.68,Peaty,High,High,High
73.19,2.73,38.29,95.26,59.73,85.02,Peaty,High,High,High
64.29,1.18,27.37,66.08,48.13,66.1,Silty,High,Medium,High
6.65,0.68,39.68,47.61,54.24,53.57,Loamy,Medium,Medium,Medium
67.9,1.4,30.19,75.82,43.22,56.38,Silty,High,Medium,High
59.82,1.92,38.48,78.16,61.34,87.28,Loamy,High,High,High
59.63,1.0,18.12,74.17,62.28,48.95,Silty,High,High,Medium
37.06,1.56,34.46,50.65,51.51,60.83,Sandy,Medium,Medium,High
32.86,1.7,37.87,59.28,62.63,65.37,Sandy,Medium,High,High
26.2,0.67,21.07,47.79,45.22,49.84,Sandy,Medium,Medium,Medium
9.6,2.25,20.11,68.23,46.63,64.27,Sandy,High,Medium,High
20.98,3.15,27.34,100.0,63.49,66.22,Clay,High,High,High
22.26,0.96,38.54,68.58,49.59,47.72,Sandy,High,Medium,Medium
38.89,2.29,29.93,83.94,43.53,78.15,Peaty,High,Medium,High
57.32,2.49,29.6,87.62,70.98,80.44,Peaty,High,High,High
38.17,1.76,21.1,73.79,54.17,74.98,Clay,High,Medium,High
9.05,2.6,18.02,62.55,58.55,74.05,Sandy,Medium,High,High
72.05,1.73,35.82,75.88,61.67,72.56,Sandy,High,High,High
70.99,2.01,19.93,72.91,53.49,64.3,Sandy,High,Medium,High
59.96,0.52,31.94,67.86,49.91,49.49,Silty,High,Medium,Medium
74.39,2.58,38.12,97.04,71.39,95.0,Loamy,High,High,High
43.11,2.48,22.59,81.36,68.18,71.54,Silty,High,High,High
72.39,0.62,32.64,67.01,54.79,62.01,Loamy,High,Medium,High
10.29,1.6,19.73,61.88,46.96,58.88,Sandy,Medium,Medium,High
30.6,3.44,31.28,82.61,53.5,91.27,Sandy,High,Medium,High
20.78,1.76,21.61,54.68,48.06,54.22,Silty,Medium,Medium,Medium
18.71,2.01,34.19,62.22,65.89,61.96,Silty,Medium,High,High
14.86,3.23,24.63,93.33,65.8,73.01,Loamy,High,High,High
48.57,2.65,28.19,84.57,54.28,79.47,Peaty,High,Medium,High
59.69,2.25,31.19,78.29,55.56,84.22,Loamy,High,High,High
