Moisture,pH,EC,N,P,K,Soil_Type,N_Class,P_Class,K_Class,Soil_Temperature
24.76,5.65,2.38,79.29,35.07,89.69,Loamy,High,Medium,High,28.82
56.31,5.36,2.06,30.07,57.87,79.05,Peaty,Low,High,High,20.43
53.56,5.73,2.59,79.72,30.3,82.57,Peaty,High,Medium,High,25.0
64.92,5.72,2.47,52.01,52.12,64.86,Clay,Medium,High,Medium,26.27
39.24,6.58,1.99,31.24,68.22,71.8,Clay,Low,High,High,25.5
25.23,6.59,2.0,60.73,66.88,22.99,Sandy,Medium,High,Low,36.74
62.01,7.92,2.89,90.49,58.67,69.84,Clay,High,High,High,27.6
32.96,5.53,2.4,76.05,56.88,62.59,Loamy,High,High,Medium,25.26
46.95,7.63,2.2,60.33,44.21,60.11,Peaty,Medium,Medium,Medium,29.9
9.79,6.15,1.84,27.35,66.71,83.2,Sandy,Low,High,High,34.47
38.38,7.68,1.57,22.47,39.81,54.2,Clay,Low,Medium,Medium,31.7
51.44,6.15,2.03,50.06,32.85,64.5,Peaty,Medium,Medium,Medium,22.16
51.78,7.76,2.4,68.49,43.69,62.65,Silty,Medium,Medium,Medium,26.94
51.91,7.63,1.94,26.75,40.39,60.58,Clay,Low,Medium,Medium,27.16
37.34,6.52,1.88,44.76,10.43,67.5,Loamy,Medium,Low,High,28.88
34.94,5.82,1.91,62.33,32.68,61.85,Clay,Medium,Medium,Medium,30.46
21.55,5.52,1.53,22.57,59.43,20.71,Loamy,Low,High,Low,30.07
20.86,5.78,1.86,28.37,37.05,87.51,Loamy,Low,Medium,High,26.57
26.71,5.36,1.89,30.03,53.39,87.91,Silty,Low,High,High,24.22
53.1,5.77,1.99,77.02,26.28,53.58,Peaty,High,Medium,Medium,21.8
42.81,6.15,2.09,74.29,27.41,60.46,Clay,High,Medium,Medium,30.85
70.84,6.84,2.79,95.23,27.29,85.15,Peaty,High,Medium,High,28.61
10.06,6.78,1.51,27.61,54.87,65.4,Sandy,Low,High,High,31.07
20.64,7.77,1.77,46.7,45.08,40.97,Sandy,Medium,Medium,Medium,34.8
39.86,6.98,2.34,90.64,37.37,64.12,Silty,High,Medium,Medium,27.15
60.24,5.89,1.98,29.32,45.55,40.95,Peaty,Low,Medium,Medium,20.06
23.72,6.77,1.89,99.14,31.59,15.85,Sandy,High,Medium,Low,26.15
10.82,5.37,1.55,51.25,46.29,25.05,Sandy,Medium,Medium,Low,36.15
31.39,7.56,2.09,68.82,64.68,19.57,Silty,Medium,High,Low,25.41
37.45,6.67,1.82,20.46,30.1,63.47,Clay,Low,Medium,Medium,26.68
68.04,6.79,2.0,24.53,63.68,20.81,Peaty,Low,High,Low,29.42
35.28,5.49,2.31,38.06,68.77,68.57,Loamy,Low,High,High,27.92
28.89,7.59,1.68,74.28,26.34,48.38,Silty,High,Medium,Medium,24.12
35.37,6.94,2.14,60.45,62.34,38.0,Silty,Medium,High,Medium,29.61
38.77,6.88,2.27,70.96,34.47,85.13,Clay,High,Medium,High,27.41
23.98,5.07,2.05,79.81,28.87,89.34,Sandy,High,Medium,High,27.44
13.81,5.66,1.97,59.71,36.04,83.04,Sandy,Medium,Medium,High,36.18
34.83,6.02,1.6,86.91,15.35,31.4,Loamy,High,Low,Low,24.03
33.16,7.98,1.88,32.15,29.45,82.0,Silty,Low,Medium,High,26.49
64.58,7.23,2.02,69.66,54.93,20.67,Peaty,Medium,High,Low,28.87
57.63,6.82,2.09,56.02,15.42,89.02,Peaty,Medium,Low,High,22.74
20.28,5.41,1.02,41.62,12.7,31.15,Sandy,Medium,Low,Low,29.56
38.96,6.53,1.57,45.37,31.52,48.1,Clay,Medium,Medium,Medium,30.22
12.38,7.46,1.2,30.33,42.84,17.21,Sandy,Low,Medium,Low,36.15
36.58,7.24,2.28,72.61,66.19,43.47,Loamy,High,High,Medium,27.77
45.37,7.12,1.55,49.24,32.59,15.83,Silty,Medium,Medium,Low,24.56
54.15,7.23,2.26,53.97,24.64,74.6,Clay,Medium,Low,High,22.69
19.29,6.94,1.58,20.5,40.7,69.02,Loamy,Low,Medium,High,26.4
54.98,7.26,2.01,36.71,47.49,58.66,Peaty,Low,Medium,Medium,23.28
68.63,7.18,2.48,85.05,54.71,26.22,Peaty,High,High,Low,24.38
41.0,5.39,1.81,33.43,64.78,40.54,Silty,Low,High,Medium,31.19
34.95,7.4,2.15,28.8,67.75,72.9,Clay,Low,High,High,24.41
23.19,5.07,2.06,64.31,28.64,77.42,Sandy,Medium,Medium,High,33.53
31.76,6.05,2.18,63.3,44.29,65.81,Silty,Medium,Medium,High,23.88
31.99,5.74,1.92,76.77,25.04,52.27,Loamy,High,Medium,Medium,27.96
40.56,6.55,2.31,33.08,62.17,85.21,Loamy,Low,High,High,26.28
32.96,7.15,1.15,30.98,12.34,32.43,Clay,Low,Low,Low,28.51
58.47,5.5,2.22,58.15,45.92,70.03,Clay,Medium,Medium,High,29.09
57.45,7.0,2.48,81.06,52.91,57.59,Peaty,High,High,Medium,22.39
8.28,6.44,1.75,47.1,49.96,65.79,Sandy,Medium,Medium,High,31.3
19.92,5.28,1.5,81.59,23.32,33.22,Loamy,High,Low,Low,28.65
43.59,6.14,1.88,36.64,39.29,80.4,Clay,Low,Medium,High,23.06
44.45,5.88,2.56,82.77,68.33,60.03,Clay,High,High,Medium,31.71
19.08,6.24,1.52,24.84,61.43,58.75,Sandy,Low,High,Medium,30.06
18.98,6.72,2.02,91.73,34.75,42.84,Loamy,High,Medium,Medium,29.13
8.03,5.14,1.78,40.04,49.52,81.5,Sandy,Medium,Medium,High,34.11
33.78,7.87,1.97,28.9,55.34,71.05,Silty,Low,High,High,29.93
44.26,7.9,2.71,86.09,57.64,86.33,Silty,High,High,High,28.17
19.69,6.04,1.43,65.94,52.93,15.88,Sandy,Medium,High,Low,34.71
28.2,7.84,1.57,54.56,22.37,61.55,Loamy,Medium,Low,Medium,24.54
49.43,7.46,2.49,39.25,54.81,88.02,Silty,Low,High,High,27.06
34.16,6.91,1.66,25.41,28.81,62.14,Silty,Low,Medium,Medium,25.67
64.81,7.85,2.09,30.39,46.13,53.48,Clay,Low,Medium,Medium,31.9
39.29,7.33,1.68,40.37,58.65,40.37,Silty,Medium,High,Medium,31.73
62.55,5.81,2.09,74.84,17.57,61.79,Peaty,High,Low,Medium,27.63
70.54,6.43,2.24,81.77,18.79,64.29,Peaty,High,Low,Medium,25.4
44.29,6.84,2.01,57.76,53.71,48.15,Silty,Medium,High,Medium,28.87
17.44,5.09,1.73,61.44,14.23,83.65,Sandy,Medium,Low,High,27.49
45.05,7.59,1.92,33.35,42.71,59.31,Clay,Low,Medium,Medium,22.77
53.52,6.04,1.58,42.04,21.87,36.25,Clay,Medium,Low,Medium,27.82
55.85,5.19,2.96,92.72,67.1,73.92,Clay,High,High,High,29.16
62.98,5.54,2.35,80.71,52.73,22.88,Clay,High,High,Low,26.07
22.54,7.37,1.25,22.36,37.53,47.83,Sandy,Low,Medium,Medium,30.2
68.52,6.75,2.11,37.51,37.5,79.1,Peaty,Low,Medium,High,25.33
53.84,6.35,2.12,92.85,20.76,32.12,Silty,High,Low,Low,30.44
40.54,5.96,1.9,67.58,30.4,49.18,Peaty,Medium,Medium,Medium,25.5
35.52,7.5,1.56,62.23,18.98,51.1,Loamy,Medium,Low,Medium,24.44
25.13,6.52,1.93,79.33,29.31,49.13,Loamy,High,Medium,Medium,29.67
25.6,7.73,1.86,31.81,58.64,67.88,Sandy,Low,High,High,34.93
43.27,5.81,2.44,91.62,46.73,80.68,Peaty,High,Medium,High,21.81
38.26,5.08,2.01,46.87,68.05,37.99,Silty,Medium,High,Medium,28.78
20.47,5.87,1.76,65.74,52.25,43.75,Sandy,Medium,High,Medium,33.98
62.13,6.93,2.39,80.19,44.07,62.28,Clay,High,Medium,Medium,23.63
33.58,6.26,1.5,47.17,45.78,17.86,Silty,Medium,Medium,Low,29.82
61.97,5.4,2.62,74.92,65.09,45.83,Clay,High,High,Medium,25.72
72.47,6.9,1.9,31.39,42.38,35.32,Peaty,Low,Medium,Medium,25.5
21.02,7.62,2.04,28.99,63.87,86.82,Loamy,Low,High,High,29.15
27.3,7.89,2.35,98.39,42.58,66.33,Loamy,High,Medium,High,25.42
62.72,6.15,1.75,60.36,16.25,38.72,Clay,Medium,Low,Medium,23.6
54.06,5.12,2.18,76.16,31.21,65.34,Silty,High,Medium,High,28.64
39.26,5.04,2.4,97.23,51.16,51.9,Silty,High,High,Medium,24.25
56.51,7.66,1.96,46.92,66.84,32.08,Peaty,Medium,High,Low,27.02
46.38,7.75,1.59,30.38,53.96,25.88,Clay,Low,High,Low,22.62
31.81,6.52,1.71,50.03,40.24,35.2,Silty,Medium,Medium,Medium,33.64
69.56,6.28,1.82,22.82,61.67,15.63,Peaty,Low,High,Low,26.93
70.87,6.43,2.27,87.75,59.85,16.3,Peaty,High,High,Low,26.56
70.66,6.65,2.51,88.3,53.92,61.47,Peaty,High,High,Medium,25.01
74.42,6.38,2.1,61.55,49.13,20.68,Peaty,Medium,Medium,Low,27.36
43.26,5.32,1.59,24.96,38.53,54.03,Clay,Low,Medium,Medium,24.59
36.53,5.01,2.52,60.4,68.97,87.54,Clay,Medium,High,High,31.78
39.18,5.83,1.76,85.39,30.93,31.92,Clay,High,Medium,Low,28.56
17.98,7.32,1.71,91.84,34.17,37.58,Sandy,High,Medium,Medium,32.14
28.52,5.48,2.28,45.99,49.87,87.49,Silty,Medium,Medium,High,27.31
32.48,6.93,1.81,53.41,11.4,76.3,Clay,Medium,Low,High,31.05
34.32,6.8,1.79,73.48,29.52,51.26,Loamy,High,Medium,Medium,32.2
74.17,5.3,2.51,96.02,47.11,15.73,Peaty,High,Medium,Low,29.06
37.36,5.12,2.2,74.95,56.6,52.66,Loamy,High,High,Medium,31.51
24.88,6.65,2.22,94.69,36.17,56.72,Loamy,High,Medium,Medium,31.42
44.51,6.77,2.45,77.05,49.12,75.0,Silty,High,Medium,High,29.99
43.08,7.14,2.0,29.11,56.31,43.97,Peaty,Low,High,Medium,21.07
51.99,5.35,1.56,21.67,50.12,17.5,Peaty,Low,High,Low,27.64
63.02,7.65,1.97,41.09,15.97,72.04,Clay,Medium,Low,High,24.84
40.39,5.76,1.9,69.48,37.97,17.25,Clay,Medium,Medium,Low,22.34
12.62,7.13,1.62,38.8,53.76,65.85,Sandy,Low,High,High,28.77
48.03,5.14,1.96,49.94,33.62,39.28,Clay,Medium,Medium,Medium,30.15
31.33,7.36,2.3,85.0,30.72,76.6,Silty,High,Medium,High,28.38
15.36,7.56,1.81,49.84,61.9,48.41,Sandy,Medium,High,Medium,34.69
40.1,5.49,1.62,74.66,29.24,21.5,Clay,High,Medium,Low,29.45
54.94,5.63,2.56,45.75,66.1,71.5,Clay,Medium,High,High,24.45
42.08,6.93,1.9,57.83,21.22,41.92,Loamy,Medium,Low,Medium,29.36
54.82,5.94,2.39,71.51,59.59,41.86,Peaty,High,High,Medium,25.64
41.57,5.04,2.3,71.56,14.77,81.17,Clay,High,Low,High,23.76
65.47,6.12,2.22,41.58,10.64,79.03,Peaty,Medium,Low,High,27.68
25.2,7.76,2.06,98.55,30.45,72.51,Silty,High,Medium,High,33.46
50.2,6.55,1.88,59.02,12.85,57.78,Peaty,Medium,Low,Medium,20.91
38.93,7.0,2.19,38.3,53.0,83.31,Silty,Low,High,High,28.84
16.07,7.13,1.41,53.57,46.4,35.05,Sandy,Medium,Medium,Medium,29.88
43.21,5.58,2.46,91.57,52.51,65.05,Loamy,High,High,High,26.54
25.14,6.3,2.24,72.17,68.18,48.15,Sandy,High,High,Medium,32.99
43.58,5.4,1.66,47.92,54.74,27.85,Clay,Medium,High,Low,29.83
10.87,5.3,1.54,46.55,18.16,65.83,Sandy,Medium,Low,High,34.2
63.96,5.95,2.17,55.52,37.8,67.88,Clay,Medium,Medium,High,26.47
14.07,7.88,1.7,52.0,66.52,33.83,Sandy,Medium,High,Low,30.12
36.02,5.28,1.65,24.89,47.69,53.23,Loamy,Low,Medium,Medium,28.08
50.19,7.61,1.87,52.62,34.23,43.33,Peaty,Medium,Medium,Medium,28.71
40.74,7.03,2.4,52.04,59.99,72.17,Clay,Medium,High,High,23.64
46.31,6.65,2.1,24.22,40.44,74.19,Peaty,Low,Medium,High,22.02
67.24,7.76,2.3,43.18,40.59,69.51,Peaty,Medium,Medium,High,23.34
36.43,7.11,1.67,21.39,64.32,25.85,Clay,Low,High,Low,27.23
33.0,5.27,2.43,92.18,19.2,85.1,Clay,High,Low,High,27.83
50.6,7.73,2.21,29.76,63.48,52.33,Silty,Low,High,Medium,25.3
58.87,5.63,2.06,52.92,37.11,51.38,Peaty,Medium,Medium,Medium,22.78
27.82,6.57,1.56,67.7,14.19,44.55,Sandy,Medium,Low,Medium,36.97
63.06,7.3,1.87,34.03,30.96,62.1,Peaty,Low,Medium,Medium,28.5
41.1,7.96,2.51,67.56,59.59,68.96,Clay,Medium,High,High,28.5
21.67,7.43,1.98,53.37,22.51,82.99,Sandy,Medium,Low,High,32.24
59.63,6.75,1.91,29.42,39.91,59.78,Clay,Low,Medium,Medium,25.54
11.56,7.01,1.09,54.91,20.92,22.61,Sandy,Medium,Low,Low,26.73
34.99,7.65,2.28,88.52,18.37,81.25,Clay,High,Low,High,26.39
32.76,5.07,1.89,94.12,10.37,45.33,Clay,High,Low,Medium,24.69
41.2,6.71,1.84,86.94,43.41,18.64,Loamy,High,Medium,Low,28.46
68.34,6.46,2.11,44.27,34.07,49.31,Peaty,Medium,Medium,Medium,27.25
56.8,7.45,2.06,60.77,29.31,31.12,Clay,Medium,Medium,Low,30.66
27.38,6.48,2.27,50.01,46.68,89.48,Sandy,Medium,Medium,High,32.64
28.56,7.67,2.04,48.9,57.21,86.39,Loamy,Medium,High,High,30.12
27.89,7.76,1.66,49.93,38.69,48.29,Loamy,Medium,Medium,Medium,24.17
69.06,7.34,2.28,61.46,23.6,65.08,Peaty,Medium,Low,High,28.04
28.01,6.73,2.13,58.29,52.91,89.12,Silty,Medium,High,High,30.12
16.58,6.77,1.48,31.93,49.04,26.43,Sandy,Low,Medium,Low,27.19
54.6,7.5,2.23,70.11,52.4,36.21,Silty,High,High,Medium,26.47
32.06,5.79,2.14,88.77,37.46,79.47,Loamy,High,Medium,High,29.75
31.03,6.67,1.95,23.88,28.99,87.06,Silty,Low,Medium,High,31.42
25.64,7.69,1.75,49.5,45.09,45.27,Sandy,Medium,Medium,Medium,26.09
43.65,6.07,2.42,90.92,34.18,63.0,Clay,High,Medium,Medium,30.11
9.2,7.89,1.83,72.34,69.82,34.1,Sandy,High,High,Low,26.96
17.22,6.93,1.8,82.53,48.26,26.79,Sandy,High,Medium,Low,29.25
61.25,7.28,2.02,22.23,19.44,68.09,Clay,Low,Low,High,26.22
48.35,5.01,2.41,82.62,44.12,69.08,Clay,High,Medium,High,27.42
39.04,7.39,1.69,66.65,38.02,18.23,Clay,Medium,Medium,Low,29.55
49.99,5.84,1.34,21.69,34.36,23.7,Clay,Low,Medium,Low,29.63
67.44,6.6,1.99,21.55,66.11,47.58,Peaty,Low,High,Medium,26.4
13.39,6.85,1.64,20.05,45.21,62.66,Sandy,Low,Medium,Medium,30.05
69.0,5.28,2.27,73.49,30.66,37.36,Peaty,High,Medium,Medium,29.56
34.3,7.27,1.77,47.96,33.55,70.57,Silty,Medium,Medium,High,30.64
59.51,6.95,2.7,90.8,62.02,53.71,Clay,High,High,Medium,25.36
31.59,5.05,2.01,79.07,50.35,31.75,Silty,High,High,Low,29.26
39.13,6.14,1.84,51.77,40.32,62.02,Silty,Medium,Medium,Medium,32.79
26.75,7.93,1.73,94.66,24.11,25.32,Sandy,High,Low,Low,29.19
30.93,7.26,1.48,22.84,22.99,53.36,Loamy,Low,Low,Medium,24.97
60.08,6.17,2.18,68.44,36.58,57.25,Peaty,Medium,Medium,Medium,22.4
48.84,7.96,1.82,70.07,31.38,34.19,Peaty,High,Medium,Low,28.68
74.46,7.52,2.16,64.17,30.22,37.72,Peaty,Medium,Medium,Medium,28.58
42.82,5.69,1.8,23.46,66.74,57.25,Loamy,Low,High,Medium,23.26
39.92,7.16,2.47,74.15,49.16,70.61,Loamy,High,Medium,High,26.83
50.43,7.88,2.72,92.97,66.44,63.53,Clay,High,High,Medium,28.06
40.96,7.36,1.67,70.39,10.17,38.69,Loamy,High,Low,Medium,24.48
43.17,6.63,1.81,44.0,18.01,82.8,Peaty,Medium,Low,High,26.32
56.21,5.53,1.55,20.87,46.95,24.42,Peaty,Low,Medium,Low,22.85
63.29,7.86,1.7,22.23,68.25,25.36,Peaty,Low,High,Low,20.08
41.52,6.63,1.44,21.78,12.12,32.85,Silty,Low,Low,Low,26.16
54.1,6.72,1.63,51.71,22.92,17.6,Silty,Medium,Low,Low,28.02
22.19,7.78,1.55,47.49,32.45,55.76,Sandy,Medium,Medium,Medium,34.91
52.18,7.79,2.15,44.64,48.04,43.91,Peaty,Medium,Medium,Medium,21.47
51.13,5.02,1.9,43.7,39.62,40.22,Peaty,Medium,Medium,Medium,21.52
48.21,5.46,2.46,75.64,48.36,77.85,Clay,High,Medium,High,25.83
35.63,5.96,2.2,48.77,58.77,55.02,Silty,Medium,High,Medium,23.99
40.85,5.99,1.87,48.88,51.44,40.23,Clay,Medium,High,Medium,28.39
74.97,6.76,2.51,80.85,36.18,79.78,Peaty,High,Medium,High,29.4
23.87,7.63,2.2,88.94,58.61,33.71,Sandy,High,High,Low,29.26
37.37,5.8,1.62,29.29,15.73,64.86,Loamy,Low,Low,Medium,30.64
63.38,7.01,1.83,63.83,36.75,28.07,Peaty,Medium,Medium,Low,22.34
39.0,7.28,1.96,62.79,12.99,68.52,Clay,Medium,Low,High,26.83
68.73,7.79,2.02,69.02,54.25,19.39,Peaty,Medium,High,Low,22.08
36.05,6.16,2.38,74.84,62.98,75.62,Silty,High,High,High,28.46
12.41,6.29,1.76,48.19,27.19,89.8,Sandy,Medium,Medium,High,33.24
15.69,5.16,1.87,21.44,64.43,76.46,Sandy,Low,High,High,27.33
45.7,5.11,2.01,80.45,21.06,71.5,Silty,High,Low,High,31.82
19.62,7.76,1.58,66.9,25.67,37.83,Sandy,Medium,Medium,Medium,28.26
42.0,7.07,1.99,98.53,10.62,50.01,Loamy,High,Low,Medium,29.51
41.72,7.35,2.01,52.85,20.38,70.65,Loamy,Medium,Low,High,30.39
40.92,6.36,1.47,20.99,30.28,51.56,Clay,Low,Medium,Medium,22.39
44.93,5.21,2.39,82.35,46.89,74.37,Loamy,High,Medium,High,32.95
51.22,5.13,1.76,53.39,30.85,16.69,Silty,Medium,Medium,Low,23.21
36.19,7.44,2.01,53.72,69.4,49.24,Loamy,Medium,High,Medium,26.68
52.37,6.83,2.68,92.17,64.37,87.46,Clay,High,High,High,24.89
44.54,7.25,1.95,58.04,58.73,24.06,Loamy,Medium,High,Low,32.58
42.53,5.93,2.34,75.08,23.98,71.5,Loamy,High,Low,High,31.69
61.06,6.05,2.19,50.73,16.9,85.49,Clay,Medium,Low,High,27.74
41.94,7.03,2.3,52.34,63.87,75.53,Clay,Medium,High,High,30.83
41.4,7.4,2.62,98.08,33.91,77.26,Loamy,High,Medium,High,29.15
15.84,6.44,2.09,99.02,59.55,23.64,Sandy,High,High,Low,33.22
30.29,5.54,1.95,30.33,64.19,69.22,Clay,Low,High,High,28.73
18.18,5.86,2.13,73.0,52.25,75.9,Loamy,High,High,High,25.24
60.1,7.55,2.24,24.15,69.29,85.81,Clay,Low,High,High,22.3
25.58,6.02,1.54,57.41,32.61,18.81,Silty,Medium,Medium,Low,27.66
48.36,5.12,2.38,30.17,63.37,80.88,Clay,Low,High,High,31.44
42.54,5.48,2.2,50.49,51.26,65.75,Peaty,Medium,High,High,25.7
50.58,7.02,2.54,96.53,50.63,60.8,Peaty,High,High,Medium,20.04
23.29,7.1,1.55,30.24,53.49,62.15,Sandy,Low,High,Medium,31.62
20.45,6.82,1.67,33.83,51.22,42.74,Loamy,Low,High,Medium,24.85
24.97,6.13,1.72,33.65,48.18,75.32,Sandy,Low,Medium,High,27.37
42.2,6.54,1.67,63.99,51.0,16.34,Silty,Medium,High,Low,29.06
40.24,5.56,1.88,87.64,49.0,27.08,Peaty,High,Medium,Low,29.27
38.93,7.49,1.29,44.43,17.82,25.55,Silty,Medium,Low,Low,33.9
18.55,7.24,2.08,30.83,63.67,84.36,Sandy,Low,High,High,27.27
38.39,5.97,2.17,80.25,39.12,78.59,Clay,High,Medium,High,29.74
25.44,5.55,1.69,56.34,41.84,27.59,Silty,Medium,Medium,Low,25.38
8.27,7.95,1.87,35.18,62.21,69.18,Sandy,Low,High,High,29.87
55.95,7.63,2.47,55.88,68.35,54.57,Clay,Medium,High,Medium,26.09
36.16,5.03,1.71,45.11,43.64,38.0,Clay,Medium,Medium,Medium,26.4
41.34,7.21,2.16,76.25,47.37,26.92,Silty,High,Medium,Low,29.24
48.41,7.62,1.89,28.66,12.5,84.4,Silty,Low,Low,High,23.24
9.74,7.04,1.3,23.33,31.03,33.41,Sandy,Low,Medium,Low,32.5
37.85,6.27,2.5,98.86,65.48,35.78,Loamy,High,High,Medium,30.82
39.11,6.26,1.82,38.83,46.07,58.86,Silty,Low,Medium,Medium,29.84
23.13,6.94,1.33,54.22,24.52,30.29,Sandy,Medium,Low,Low,30.43
59.06,5.64,2.37,91.28,13.14,77.44,Peaty,High,Low,High,27.36
13.21,6.81,1.77,34.84,58.41,59.73,Sandy,Low,High,Medium,33.47
34.0,7.54,2.25,58.71,41.33,89.92,Loamy,Medium,Medium,High,26.44
11.35,7.6,2.18,48.78,66.82,75.42,Sandy,Medium,High,High,31.17
58.84,7.68,2.11,45.62,43.34,51.19,Peaty,Medium,Medium,Medium,21.42
37.02,5.85,1.29,31.59,18.31,22.8,Clay,Low,Low,Low,24.05
63.74,7.68,2.1,39.61,16.5,86.51,Clay,Low,Low,High,24.88
50.27,7.54,2.02,64.59,16.49,88.64,Silty,Medium,Low,High,24.49
41.35,6.8,1.42,47.61,33.05,22.24,Silty,Medium,Medium,Low,24.42
71.75,6.42,2.47,84.53,35.78,53.67,Peaty,High,Medium,Medium,23.42
40.24,5.51,2.26,69.16,65.45,34.83,Clay,Medium,High,Low,27.72
42.86,7.3,1.85,39.6,55.1,28.39,Loamy,Low,High,Low,32.43
62.27,6.52,2.66,99.44,26.25,60.23,Clay,High,Medium,Medium,27.52
10.12,6.37,1.5,29.28,21.15,84.5,Sandy,Low,Low,High,29.87
62.28,7.29,2.73,98.88,69.51,47.56,Clay,High,High,Medium,27.86
59.13,5.33,2.71,88.76,54.38,53.15,Clay,High,High,Medium,22.87
38.99,7.31,2.1,32.67,61.34,85.89,Loamy,Low,High,High,32.28
25.68,6.22,1.68,34.32,17.64,69.69,Silty,Low,Low,High,24.44
22.26,5.78,1.8,90.71,13.97,55.87,Loamy,High,Low,Medium,32.62
37.48,7.9,2.07,95.94,54.96,30.92,Loamy,High,High,Low,32.75
34.39,5.56,2.02,64.54,24.97,62.88,Loamy,Medium,Low,Medium,27.66
17.36,7.77,1.6,49.07,11.72,69.23,Sandy,Medium,Low,High,29.48
73.1,7.07,2.49,99.5,43.02,46.69,Peaty,High,Medium,Medium,23.66
46.36,6.12,1.84,22.13,58.01,67.62,Clay,Low,High,High,29.71
43.69,5.49,2.4,91.9,47.41,72.9,Peaty,High,Medium,High,22.17
48.22,5.22,1.75,61.36,23.73,31.59,Clay,Medium,Low,Low,25.49
54.66,6.45,2.32,76.01,59.47,32.83,Silty,High,High,Low,26.16
46.67,7.39,1.45,36.74,35.28,23.21,Clay,Low,Medium,Low,28.78
53.63,7.8,2.59,79.24,67.32,40.65,Clay,High,High,Medium,31.82
40.85,5.41,2.53,61.4,67.76,78.11,Clay,Medium,High,High,28.21
23.47,7.06,1.7,87.0,16.29,44.54,Sandy,High,Low,Medium,32.08
23.2,6.5,1.1,49.1,16.2,26.38,Sandy,Medium,Low,Low,27.66
51.07,6.46,2.13,54.53,22.85,78.83,Peaty,Medium,Low,High,20.72
13.4,5.38,1.05,32.09,46.09,19.49,Sandy,Low,Medium,Low,25.81
40.99,7.08,1.79,44.96,41.48,44.88,Loamy,Medium,Medium,Medium,24.16
10.51,7.54,1.8,72.46,24.1,87.16,Sandy,High,Low,High,29.2
9.9,7.3,0.97,36.06,15.24,37.24,Sandy,Low,Low,Medium,31.09
9.96,6.21,1.61,53.38,13.95,74.59,Sandy,Medium,Low,High,34.63
64.25,5.99,1.78,58.09,44.87,15.33,Peaty,Medium,Medium,Low,22.71
37.8,6.74,2.16,37.77,61.16,87.65,Silty,Low,High,High,30.61
58.32,7.58,2.23,56.56,58.95,65.14,Clay,Medium,High,High,30.99
36.72,5.03,2.06,89.16,26.5,32.17,Clay,High,Medium,Low,30.04
71.56,5.91,2.4,49.09,46.88,80.98,Peaty,Medium,Medium,High,29.43
35.68,6.29,1.76,75.24,38.54,23.51,Loamy,High,Medium,Low,30.39
37.02,7.41,1.83,60.78,22.95,54.59,Silty,Medium,Low,Medium,31.97
59.53,6.81,1.54,33.25,17.02,50.7,Clay,Low,Low,Medium,30.95
44.7,7.85,2.15,84.98,36.17,26.07,Peaty,High,Medium,Low,23.23
13.19,6.96,1.3,36.81,15.26,33.8,Sandy,Low,Low,Low,36.25
63.34,6.43,2.15,96.55,28.39,19.61,Clay,High,Medium,Low,27.57
59.38,6.11,1.87,41.53,50.76,26.74,Peaty,Medium,High,Low,27.06
50.07,6.08,2.08,71.18,37.48,36.35,Peaty,High,Medium,Medium,27.5
12.56,5.97,1.91,70.93,16.43,75.35,Sandy,High,Low,High,27.78
10.7,5.03,1.69,75.29,20.67,59.41,Sandy,High,Low,Medium,30.77
44.55,6.2,2.08,44.87,66.04,69.94,Loamy,Medium,High,High,23.22
48.44,7.96,2.07,97.66,11.69,28.09,Clay,High,Low,Low,22.62
22.82,7.24,1.76,50.99,54.63,62.59,Loamy,Medium,High,Medium,28.43
43.71,5.6,2.19,88.99,67.83,30.73,Peaty,High,High,Low,22.87
36.1,6.86,2.37,79.3,55.39,82.34,Clay,High,High,High,28.25
37.6,6.69,1.73,67.58,28.63,21.66,Silty,Medium,Medium,Low,31.36
10.54,7.8,2.26,81.57,29.32,88.83,Sandy,High,Medium,High,33.86
44.87,5.59,1.89,37.54,12.88,64.34,Clay,Low,Low,Medium,31.59
44.14,7.3,1.39,23.11,57.34,20.13,Silty,Low,High,Low,25.81
55.85,5.81,2.44,35.08,63.93,77.03,Clay,Low,High,High,28.08
30.39,7.86,1.94,54.72,40.64,52.94,Loamy,Medium,Medium,Medium,28.93
43.21,5.32,2.23,65.85,68.21,26.53,Peaty,Medium,High,Low,27.28
22.6,7.11,1.95,78.14,33.49,55.47,Loamy,High,Medium,Medium,30.83
16.4,7.71,1.93,85.17,42.61,36.71,Sandy,High,Medium,Medium,37.26
22.26,7.97,1.52,32.91,49.37,31.31,Loamy,Low,Medium,Low,29.24
70.33,6.55,2.01,86.92,16.22,41.64,Peaty,High,Low,Medium,21.13
43.66,6.59,1.89,73.6,19.11,67.77,Silty,High,Low,High,29.25
41.7,7.41,1.59,31.94,45.59,20.31,Peaty,Low,Medium,Low,21.41
46.63,5.7,1.59,74.42,16.86,23.77,Peaty,High,Low,Low,23.78
25.03,7.85,2.03,95.04,13.74,76.1,Sandy,High,Low,High,37.62
22.04,5.63,1.79,57.73,45.91,67.58,Loamy,Medium,Medium,High,32.77
44.92,5.29,1.97,37.25,50.59,45.47,Clay,Low,High,Medium,29.4
21.64,6.99,2.52,96.0,40.74,81.01,Loamy,High,Medium,High,26.16
68.86,5.59,1.84,50.1,34.63,28.17,Peaty,Medium,Medium,Low,20.81
23.67,6.72,1.54,71.42,33.49,22.37,Sandy,High,Medium,Low,25.21
